prompt,output,expert_type
What is 348 × 473?,The answer is 164604.,math
What is 190 + 225?,The answer is 415.,math
What is 377 - 283?,The answer is 94.,math
What is 633 + 628?,The answer is 1261.,math
What is 745 × 259?,The answer is 192955.,math
What is 710 × 456?,The answer is 323760.,math
What is 649 + 318?,The answer is 967.,math
What is 225 - 819?,The answer is -594.,math
What is 684 × 664?,The answer is 454176.,math
What is 827 + 374?,The answer is 1201.,math
What is 692 - 113?,The answer is 579.,math
What is 497 - 442?,The answer is 55.,math
What is 807 × 386?,The answer is 311502.,math
What is 113 + 613?,The answer is 726.,math
What is 952 × 81?,The answer is 77112.,math
What is 113 - 2?,The answer is 111.,math
What is 220 × 566?,The answer is 124520.,math
What is 997 + 736?,The answer is 1733.,math
What is 385 - 403?,The answer is -18.,math
What is 130 - 53?,The answer is 77.,math
What is 672 × 710?,The answer is 477120.,math
What is 836 × 439?,The answer is 367004.,math
What is 184 + 123?,The answer is 307.,math
What is 767 + 294?,The answer is 1061.,math
What is 884 - 610?,The answer is 274.,math
What is 982 × 907?,The answer is 890674.,math
What is 752 + 144?,The answer is 896.,math
What is 201 × 124?,The answer is 24924.,math
What is 326 + 464?,The answer is 790.,math
What is 771 × 660?,The answer is 508860.,math
What is 932 - 403?,The answer is 529.,math
What is 963 × 511?,The answer is 492093.,math
What is 148 × 864?,The answer is 127872.,math
What is 820 + 489?,The answer is 1309.,math
What is 936 × 640?,The answer is 599040.,math
What is 338 + 872?,The answer is 1210.,math
What is 779 + 988?,The answer is 1767.,math
What is 473 × 946?,The answer is 447458.,math
What is 415 - 990?,The answer is -575.,math
What is 611 - 263?,The answer is 348.,math
What is 624 + 572?,The answer is 1196.,math
What is 2 - 897?,The answer is -895.,math
What is 652 + 453?,The answer is 1105.,math
What is 160 + 9?,The answer is 169.,math
What is 99 × 659?,The answer is 65241.,math
What is 404 - 152?,The answer is 252.,math
What is 120 × 673?,The answer is 80760.,math
What is 625 - 968?,The answer is -343.,math
What is 104 - 852?,The answer is -748.,math
What is 227 - 112?,The answer is 115.,math
What is 473 + 99?,The answer is 572.,math
What is 861 - 914?,The answer is -53.,math
What is 338 - 706?,The answer is -368.,math
What is 163 + 720?,The answer is 883.,math
What is 681 + 996?,The answer is 1677.,math
What is 580 - 801?,The answer is -221.,math
What is 277 × 816?,The answer is 226032.,math
What is 195 + 401?,The answer is 596.,math
What is 688 × 460?,The answer is 316480.,math
What is 883 × 470?,The answer is 415010.,math
What is 22 - 750?,The answer is -728.,math
What is 38 + 230?,The answer is 268.,math
What is 563 × 438?,The answer is 246594.,math
What is 27 + 226?,The answer is 253.,math
What is 798 × 609?,The answer is 485982.,math
What is 960 + 481?,The answer is 1441.,math
What is 829 × 816?,The answer is 676464.,math
What is 516 + 547?,The answer is 1063.,math
What is 512 - 17?,The answer is 495.,math
What is 477 + 46?,The answer is 523.,math
What is 518 + 99?,The answer is 617.,math
What is 37 + 280?,The answer is 317.,math
What is 497 + 302?,The answer is 799.,math
What is 607 + 99?,The answer is 706.,math
What is 116 + 191?,The answer is 307.,math
What is 981 × 928?,The answer is 910368.,math
What is 161 × 256?,The answer is 41216.,math
What is 128 + 18?,The answer is 146.,math
What is 735 - 566?,The answer is 169.,math
What is 323 - 872?,The answer is -549.,math
What is 792 × 626?,The answer is 495792.,math
What is 854 - 663?,The answer is 191.,math
What is 639 - 155?,The answer is 484.,math
What is 386 + 986?,The answer is 1372.,math
What is 104 + 929?,The answer is 1033.,math
What is 811 × 246?,The answer is 199506.,math
What is 477 × 682?,The answer is 325314.,math
What is 538 - 867?,The answer is -329.,math
What is 921 + 408?,The answer is 1329.,math
What is 828 × 506?,The answer is 418968.,math
What is 825 + 36?,The answer is 861.,math
What is 20 - 321?,The answer is -301.,math
What is 400 × 654?,The answer is 261600.,math
What is 471 - 143?,The answer is 328.,math
What is 834 × 800?,The answer is 667200.,math
What is 959 × 854?,The answer is 818986.,math
What is 665 × 698?,The answer is 464170.,math
What is 190 - 125?,The answer is 65.,math
What is 314 - 570?,The answer is -256.,math
What is 305 - 692?,The answer is -387.,math
What is 838 - 783?,The answer is 55.,math
What is 444 + 613?,The answer is 1057.,math
What is 264 + 53?,The answer is 317.,math
What is 103 - 196?,The answer is -93.,math
What is 877 - 992?,The answer is -115.,math
What is 47 × 867?,The answer is 40749.,math
What is 936 + 820?,The answer is 1756.,math
What is 370 - 636?,The answer is -266.,math
What is 670 + 659?,The answer is 1329.,math
What is 120 × 831?,The answer is 99720.,math
What is 604 × 58?,The answer is 35032.,math
What is 346 - 741?,The answer is -395.,math
What is 117 × 830?,The answer is 97110.,math
What is 127 + 393?,The answer is 520.,math
What is 641 - 58?,The answer is 583.,math
What is 513 - 751?,The answer is -238.,math
What is 96 - 638?,The answer is -542.,math
What is 560 + 601?,The answer is 1161.,math
What is 885 + 897?,The answer is 1782.,math
What is 999 × 704?,The answer is 703296.,math
What is 581 + 790?,The answer is 1371.,math
What is 247 - 963?,The answer is -716.,math
What is 656 + 435?,The answer is 1091.,math
What is 86 + 697?,The answer is 783.,math
What is 974 + 220?,The answer is 1194.,math
What is 47 - 94?,The answer is -47.,math
What is 958 - 453?,The answer is 505.,math
What is 474 + 432?,The answer is 906.,math
What is 551 + 612?,The answer is 1163.,math
What is 254 + 734?,The answer is 988.,math
What is 23 - 762?,The answer is -739.,math
What is 758 - 837?,The answer is -79.,math
What is 180 - 223?,The answer is -43.,math
What is 762 - 659?,The answer is 103.,math
What is 608 + 769?,The answer is 1377.,math
What is 516 × 16?,The answer is 8256.,math
What is 258 × 497?,The answer is 128226.,math
What is 852 - 664?,The answer is 188.,math
What is 675 + 380?,The answer is 1055.,math
What is 929 × 957?,The answer is 889053.,math
What is 427 × 613?,The answer is 261751.,math
What is 577 - 417?,The answer is 160.,math
What is 43 + 556?,The answer is 599.,math
What is 397 × 12?,The answer is 4764.,math
What is 302 + 898?,The answer is 1200.,math
What is 499 × 754?,The answer is 376246.,math
What is 727 - 849?,The answer is -122.,math
What is 776 - 605?,The answer is 171.,math
What is 970 - 602?,The answer is 368.,math
What is 418 + 115?,The answer is 533.,math
What is 903 - 196?,The answer is 707.,math
What is 501 + 626?,The answer is 1127.,math
What is 75 + 413?,The answer is 488.,math
What is 277 - 761?,The answer is -484.,math
What is 869 × 457?,The answer is 397133.,math
What is 689 - 99?,The answer is 590.,math
What is 999 × 96?,The answer is 95904.,math
What is 190 + 736?,The answer is 926.,math
What is 780 × 369?,The answer is 287820.,math
What is 525 + 279?,The answer is 804.,math
What is 867 - 873?,The answer is -6.,math
What is 273 - 881?,The answer is -608.,math
What is 596 + 880?,The answer is 1476.,math
What is 342 × 397?,The answer is 135774.,math
What is 19 + 177?,The answer is 196.,math
What is 233 + 915?,The answer is 1148.,math
What is 455 - 796?,The answer is -341.,math
What is 735 × 384?,The answer is 282240.,math
What is 506 + 367?,The answer is 873.,math
What is 69 + 99?,The answer is 168.,math
What is 948 + 891?,The answer is 1839.,math
What is 484 × 565?,The answer is 273460.,math
What is 144 × 569?,The answer is 81936.,math
What is 109 - 693?,The answer is -584.,math
What is 186 - 935?,The answer is -749.,math
What is 223 + 634?,The answer is 857.,math
What is 163 + 215?,The answer is 378.,math
What is 235 - 843?,The answer is -608.,math
What is 751 + 588?,The answer is 1339.,math
What is 74 + 954?,The answer is 1028.,math
What is 253 × 230?,The answer is 58190.,math
What is 174 - 653?,The answer is -479.,math
What is 393 × 946?,The answer is 371778.,math
What is 634 + 194?,The answer is 828.,math
What is 29 - 165?,The answer is -136.,math
What is 339 + 648?,The answer is 987.,math
What is 833 + 342?,The answer is 1175.,math
What is 511 + 327?,The answer is 838.,math
What is 301 - 132?,The answer is 169.,math
What is 252 × 415?,The answer is 104580.,math
What is 445 - 876?,The answer is -431.,math
What is 167 - 91?,The answer is 76.,math
What is 858 × 531?,The answer is 455598.,math
What is 126 + 451?,The answer is 577.,math
What is 653 - 754?,The answer is -101.,math
What is 58 + 660?,The answer is 718.,math
What is 895 × 361?,The answer is 323095.,math
What is 1 + 387?,The answer is 388.,math
What is 348 + 190?,The answer is 538.,math
What is 191 + 508?,The answer is 699.,math
What is 409 + 824?,The answer is 1233.,math
What is 934 - 117?,The answer is 817.,math
What is 58 + 556?,The answer is 614.,math
What is 672 + 173?,The answer is 845.,math
What is 815 - 149?,The answer is 666.,math
What is 213 + 203?,The answer is 416.,math
What is 676 × 227?,The answer is 153452.,math
What is 532 - 441?,The answer is 91.,math
What is 47 + 233?,The answer is 280.,math
What is 526 × 143?,The answer is 75218.,math
What is 513 - 373?,The answer is 140.,math
What is 886 × 259?,The answer is 229474.,math
What is 953 - 971?,The answer is -18.,math
What is 736 - 784?,The answer is -48.,math
What is 972 + 408?,The answer is 1380.,math
What is 8 - 122?,The answer is -114.,math
What is 648 - 698?,The answer is -50.,math
What is 540 + 732?,The answer is 1272.,math
What is 41 × 740?,The answer is 30340.,math
What is 502 + 959?,The answer is 1461.,math
What is 201 + 929?,The answer is 1130.,math
What is 724 + 461?,The answer is 1185.,math
What is 909 × 558?,The answer is 507222.,math
What is 253 - 390?,The answer is -137.,math
What is 883 + 256?,The answer is 1139.,math
What is 815 - 921?,The answer is -106.,math
What is 10 - 824?,The answer is -814.,math
What is 242 + 251?,The answer is 493.,math
What is 5 + 119?,The answer is 124.,math
What is 374 - 65?,The answer is 309.,math
What is 224 + 239?,The answer is 463.,math
What is 779 - 853?,The answer is -74.,math
What is 63 - 217?,The answer is -154.,math
What is 827 + 795?,The answer is 1622.,math
What is 461 - 929?,The answer is -468.,math
What is 105 × 99?,The answer is 10395.,math
What is 385 × 405?,The answer is 155925.,math
What is 518 + 476?,The answer is 994.,math
What is 709 + 863?,The answer is 1572.,math
What is 870 + 771?,The answer is 1641.,math
What is 23 + 997?,The answer is 1020.,math
What is 677 - 714?,The answer is -37.,math
What is 83 + 145?,The answer is 228.,math
What is 78 - 457?,The answer is -379.,math
What is 1 + 51?,The answer is 52.,math
What is 717 - 772?,The answer is -55.,math
What is 449 - 881?,The answer is -432.,math
What is 348 × 95?,The answer is 33060.,math
What is 154 - 250?,The answer is -96.,math
What is 438 × 118?,The answer is 51684.,math
What is 891 + 306?,The answer is 1197.,math
What is 54 + 236?,The answer is 290.,math
What is 990 × 734?,The answer is 726660.,math
What is 825 × 401?,The answer is 330825.,math
What is 303 × 919?,The answer is 278457.,math
What is 229 - 853?,The answer is -624.,math
What is 578 × 75?,The answer is 43350.,math
What is 103 - 422?,The answer is -319.,math
What is 806 - 306?,The answer is 500.,math
What is 850 × 798?,The answer is 678300.,math
What is 859 × 435?,The answer is 373665.,math
What is 994 + 308?,The answer is 1302.,math
What is 166 × 481?,The answer is 79846.,math
What is 542 - 759?,The answer is -217.,math
What is 563 + 81?,The answer is 644.,math
What is 797 - 900?,The answer is -103.,math
What is 184 - 401?,The answer is -217.,math
What is 785 + 508?,The answer is 1293.,math
What is 546 + 774?,The answer is 1320.,math
What is 450 - 205?,The answer is 245.,math
What is 747 × 43?,The answer is 32121.,math
What is 883 + 111?,The answer is 994.,math
What is 663 × 183?,The answer is 121329.,math
What is 971 + 374?,The answer is 1345.,math
What is 195 × 864?,The answer is 168480.,math
What is 667 - 93?,The answer is 574.,math
What is 61 × 634?,The answer is 38674.,math
What is 403 + 789?,The answer is 1192.,math
What is 466 - 604?,The answer is -138.,math
What is 829 + 534?,The answer is 1363.,math
What is 838 + 513?,The answer is 1351.,math
What is 233 - 524?,The answer is -291.,math
What is 46 + 546?,The answer is 592.,math
What is 78 + 730?,The answer is 808.,math
What is 923 - 73?,The answer is 850.,math
What is 249 + 47?,The answer is 296.,math
What is 214 - 239?,The answer is -25.,math
What is 107 + 831?,The answer is 938.,math
What is 337 + 26?,The answer is 363.,math
What is 8 × 625?,The answer is 5000.,math
What is 253 × 692?,The answer is 175076.,math
What is 303 - 639?,The answer is -336.,math
What is 526 × 474?,The answer is 249324.,math
What is 78 - 216?,The answer is -138.,math
What is 365 - 666?,The answer is -301.,math
What is 699 × 312?,The answer is 218088.,math
What is 7 × 3?,The answer is 21.,math
What is 919 × 750?,The answer is 689250.,math
What is 751 + 508?,The answer is 1259.,math
What is 274 - 506?,The answer is -232.,math
What is 739 × 883?,The answer is 652537.,math
What is 192 × 985?,The answer is 189120.,math
What is 485 - 28?,The answer is 457.,math
What is 39 + 953?,The answer is 992.,math
What is 231 - 86?,The answer is 145.,math
What is 126 + 812?,The answer is 938.,math
What is 145 + 525?,The answer is 670.,math
What is 580 × 394?,The answer is 228520.,math
What is 233 - 109?,The answer is 124.,math
What is 111 × 228?,The answer is 25308.,math
What is 470 × 34?,The answer is 15980.,math
What is 776 + 936?,The answer is 1712.,math
What is 748 - 595?,The answer is 153.,math
What is 425 - 613?,The answer is -188.,math
What is 692 - 282?,The answer is 410.,math
What is 443 × 952?,The answer is 421736.,math
What is 877 + 966?,The answer is 1843.,math
What is 377 + 289?,The answer is 666.,math
What is 662 - 277?,The answer is 385.,math
What is 582 - 503?,The answer is 79.,math
What is 843 - 446?,The answer is 397.,math
What is 350 × 607?,The answer is 212450.,math
What is 137 × 759?,The answer is 103983.,math
What is 243 + 543?,The answer is 786.,math
What is 548 × 920?,The answer is 504160.,math
What is 6 × 322?,The answer is 1932.,math
What is 4 - 847?,The answer is -843.,math
What is 118 - 881?,The answer is -763.,math
What is 504 × 998?,The answer is 502992.,math
What is 574 - 441?,The answer is 133.,math
What is 847 - 715?,The answer is 132.,math
What is 435 + 173?,The answer is 608.,math
What is 326 - 410?,The answer is -84.,math
What is 836 + 787?,The answer is 1623.,math
What is 532 × 113?,The answer is 60116.,math
What is 1 - 90?,The answer is -89.,math
What is 320 + 550?,The answer is 870.,math
What is 894 × 139?,The answer is 124266.,math
What is 868 × 845?,The answer is 733460.,math
What is 259 - 673?,The answer is -414.,math
What is 690 + 10?,The answer is 700.,math
What is 919 - 650?,The answer is 269.,math
What is 13 - 168?,The answer is -155.,math
What is 596 × 321?,The answer is 191316.,math
What is 613 + 329?,The answer is 942.,math
What is 777 × 971?,The answer is 754467.,math
What is 920 × 550?,The answer is 506000.,math
What is 419 × 606?,The answer is 253914.,math
What is 817 - 581?,The answer is 236.,math
What is 956 - 236?,The answer is 720.,math
What is 334 × 885?,The answer is 295590.,math
What is 137 × 930?,The answer is 127410.,math
What is 547 - 513?,The answer is 34.,math
What is 572 + 832?,The answer is 1404.,math
What is 840 + 779?,The answer is 1619.,math
What is 229 - 270?,The answer is -41.,math
What is 291 + 725?,The answer is 1016.,math
What is 5 × 851?,The answer is 4255.,math
What is 78 - 410?,The answer is -332.,math
What is 132 + 601?,The answer is 733.,math
What is 42 - 89?,The answer is -47.,math
What is 296 × 840?,The answer is 248640.,math
What is 616 × 526?,The answer is 324016.,math
What is 637 + 422?,The answer is 1059.,math
What is 23 × 575?,The answer is 13225.,math
What is 993 + 665?,The answer is 1658.,math
What is 225 - 503?,The answer is -278.,math
What is 974 × 821?,The answer is 799654.,math
What is 39 - 947?,The answer is -908.,math
What is 646 × 579?,The answer is 374034.,math
What is 179 - 968?,The answer is -789.,math
What is 448 × 500?,The answer is 224000.,math
What is 623 + 669?,The answer is 1292.,math
What is 478 × 231?,The answer is 110418.,math
What is 420 - 157?,The answer is 263.,math
What is 441 + 97?,The answer is 538.,math
What is 997 × 411?,The answer is 409767.,math
What is 289 - 254?,The answer is 35.,math
What is 834 + 522?,The answer is 1356.,math
What is 635 + 842?,The answer is 1477.,math
What is 118 + 806?,The answer is 924.,math
What is 159 + 815?,The answer is 974.,math
What is 216 × 948?,The answer is 204768.,math
What is 157 + 648?,The answer is 805.,math
What is 157 + 47?,The answer is 204.,math
What is 130 × 411?,The answer is 53430.,math
What is 627 - 755?,The answer is -128.,math
What is 811 + 283?,The answer is 1094.,math
What is 660 - 11?,The answer is 649.,math
What is 842 - 872?,The answer is -30.,math
What is 134 × 712?,The answer is 95408.,math
What is 815 - 346?,The answer is 469.,math
What is 363 - 396?,The answer is -33.,math
What is 141 - 616?,The answer is -475.,math
What is 210 + 985?,The answer is 1195.,math
What is 623 × 616?,The answer is 383768.,math
What is 460 + 356?,The answer is 816.,math
What is 888 × 805?,The answer is 714840.,math
What is 106 × 604?,The answer is 64024.,math
What is 378 - 905?,The answer is -527.,math
What is 51 - 29?,The answer is 22.,math
What is 296 - 297?,The answer is -1.,math
What is 779 + 407?,The answer is 1186.,math
What is 814 + 613?,The answer is 1427.,math
What is 346 - 622?,The answer is -276.,math
What is 983 + 825?,The answer is 1808.,math
What is 831 × 950?,The answer is 789450.,math
What is 371 × 936?,The answer is 347256.,math
What is 661 + 431?,The answer is 1092.,math
What is 309 - 137?,The answer is 172.,math
What is 436 + 313?,The answer is 749.,math
What is 666 × 937?,The answer is 624042.,math
What is 575 + 244?,The answer is 819.,math
What is 602 - 75?,The answer is 527.,math
What is 386 - 903?,The answer is -517.,math
What is 475 × 418?,The answer is 198550.,math
What is 529 × 640?,The answer is 338560.,math
What is 955 × 876?,The answer is 836580.,math
What is 179 + 182?,The answer is 361.,math
What is 967 - 180?,The answer is 787.,math
What is 501 + 856?,The answer is 1357.,math
What is 177 × 285?,The answer is 50445.,math
What is 662 - 666?,The answer is -4.,math
What is 469 × 49?,The answer is 22981.,math
What is 849 + 84?,The answer is 933.,math
What is 689 - 148?,The answer is 541.,math
What is 342 × 476?,The answer is 162792.,math
What is 701 + 360?,The answer is 1061.,math
What is 327 + 769?,The answer is 1096.,math
What is 990 × 215?,The answer is 212850.,math
What is 891 × 952?,The answer is 848232.,math
What is 318 - 32?,The answer is 286.,math
What is 285 + 305?,The answer is 590.,math
What is 477 × 286?,The answer is 136422.,math
What is 18 - 769?,The answer is -751.,math
What is 371 - 175?,The answer is 196.,math
What is 194 + 502?,The answer is 696.,math
What is 114 - 222?,The answer is -108.,math
What is 947 + 831?,The answer is 1778.,math
What is 264 × 925?,The answer is 244200.,math
What is 871 - 643?,The answer is 228.,math
What is 458 - 979?,The answer is -521.,math
What is 162 + 380?,The answer is 542.,math
What is 87 - 55?,The answer is 32.,math
What is 391 + 349?,The answer is 740.,math
What is 313 × 759?,The answer is 237567.,math
What is 984 × 983?,The answer is 967272.,math
What is 767 - 328?,The answer is 439.,math
What is 761 + 239?,The answer is 1000.,math
What is 579 + 51?,The answer is 630.,math
What is 604 - 264?,The answer is 340.,math
What is 803 - 96?,The answer is 707.,math
What is 288 - 120?,The answer is 168.,math
What is 491 + 912?,The answer is 1403.,math
What is 182 - 469?,The answer is -287.,math
What is 735 - 823?,The answer is -88.,math
What is 7 × 330?,The answer is 2310.,math
What is 673 + 151?,The answer is 824.,math
What is 147 + 624?,The answer is 771.,math
What is 915 + 548?,The answer is 1463.,math
What is 700 - 82?,The answer is 618.,math
What is 897 + 815?,The answer is 1712.,math
What is 916 - 523?,The answer is 393.,math
What is 386 × 707?,The answer is 272902.,math
What is 119 + 396?,The answer is 515.,math
What is 805 - 934?,The answer is -129.,math
What is 905 + 226?,The answer is 1131.,math
What is 940 - 867?,The answer is 73.,math
What is 854 + 364?,The answer is 1218.,math
What is 714 × 158?,The answer is 112812.,math
What is 727 + 128?,The answer is 855.,math
What is 882 + 115?,The answer is 997.,math
What is 526 - 521?,The answer is 5.,math
What is 237 × 281?,The answer is 66597.,math
What is 201 - 758?,The answer is -557.,math
What is 235 - 494?,The answer is -259.,math
What is 442 + 29?,The answer is 471.,math
What is 610 + 727?,The answer is 1337.,math
What is 75 - 838?,The answer is -763.,math
What is 128 - 853?,The answer is -725.,math
What is 356 - 41?,The answer is 315.,math
What is 34 + 17?,The answer is 51.,math
What is 153 - 998?,The answer is -845.,math
What is 588 + 599?,The answer is 1187.,math
What is 874 + 342?,The answer is 1216.,math
What is 27 × 825?,The answer is 22275.,math
What is 646 - 731?,The answer is -85.,math
What is 268 + 749?,The answer is 1017.,math
What is 821 - 455?,The answer is 366.,math
What is 685 - 401?,The answer is 284.,math
What is 981 - 476?,The answer is 505.,math
What is 634 - 558?,The answer is 76.,math
What is 822 + 363?,The answer is 1185.,math
What is 819 × 693?,The answer is 567567.,math
What is 794 + 29?,The answer is 823.,math
What is 779 × 296?,The answer is 230584.,math
What is 512 + 676?,The answer is 1188.,math
What is 187 × 807?,The answer is 150909.,math
What is 310 × 98?,The answer is 30380.,math
What is 623 - 664?,The answer is -41.,math
What is 406 + 69?,The answer is 475.,math
What is 762 × 548?,The answer is 417576.,math
What is 148 × 467?,The answer is 69116.,math
What is 244 + 491?,The answer is 735.,math
What is 958 + 507?,The answer is 1465.,math
What is 482 - 201?,The answer is 281.,math
What is 450 + 501?,The answer is 951.,math
What is 713 + 296?,The answer is 1009.,math
What is 641 + 217?,The answer is 858.,math
What is 939 - 616?,The answer is 323.,math
What is 25 × 39?,The answer is 975.,math
What is 131 + 498?,The answer is 629.,math
What is 108 × 172?,The answer is 18576.,math
What is 478 - 102?,The answer is 376.,math
What is 524 + 275?,The answer is 799.,math
What is 44 × 955?,The answer is 42020.,math
What is 817 + 957?,The answer is 1774.,math
What is 330 × 569?,The answer is 187770.,math
What is 497 - 815?,The answer is -318.,math
What is 592 × 216?,The answer is 127872.,math
What is 776 + 991?,The answer is 1767.,math
What is 81 + 727?,The answer is 808.,math
What is 374 - 976?,The answer is -602.,math
What is 200 - 537?,The answer is -337.,math
What is 89 × 268?,The answer is 23852.,math
What is 571 + 922?,The answer is 1493.,math
What is 877 × 538?,The answer is 471826.,math
What is 288 × 778?,The answer is 224064.,math
What is 401 - 919?,The answer is -518.,math
What is 981 - 86?,The answer is 895.,math
What is 391 × 782?,The answer is 305762.,math
What is 629 + 519?,The answer is 1148.,math
What is 883 - 688?,The answer is 195.,math
What is 827 + 727?,The answer is 1554.,math
What is 594 - 223?,The answer is 371.,math
What is 372 × 935?,The answer is 347820.,math
What is 402 - 443?,The answer is -41.,math
What is 615 - 273?,The answer is 342.,math
What is 159 × 152?,The answer is 24168.,math
What is 620 + 188?,The answer is 808.,math
What is 98 + 131?,The answer is 229.,math
What is 171 - 936?,The answer is -765.,math
What is 183 × 983?,The answer is 179889.,math
What is 527 + 888?,The answer is 1415.,math
What is 516 - 349?,The answer is 167.,math
What is 921 - 397?,The answer is 524.,math
What is 161 + 16?,The answer is 177.,math
What is 426 - 108?,The answer is 318.,math
What is 450 × 311?,The answer is 139950.,math
What is 170 - 546?,The answer is -376.,math
What is 251 + 759?,The answer is 1010.,math
What is 141 × 274?,The answer is 38634.,math
What is 891 - 39?,The answer is 852.,math
What is 29 + 958?,The answer is 987.,math
What is 477 + 318?,The answer is 795.,math
What is 748 × 697?,The answer is 521356.,math
What is 377 - 266?,The answer is 111.,math
What is 921 + 359?,The answer is 1280.,math
What is 577 + 990?,The answer is 1567.,math
What is 3 - 429?,The answer is -426.,math
What is 376 - 670?,The answer is -294.,math
What is 324 - 146?,The answer is 178.,math
What is 293 + 665?,The answer is 958.,math
What is 949 + 975?,The answer is 1924.,math
What is 399 + 817?,The answer is 1216.,math
What is 344 × 964?,The answer is 331616.,math
What is 805 + 61?,The answer is 866.,math
What is 939 - 380?,The answer is 559.,math
What is 807 × 440?,The answer is 355080.,math
What is 302 × 344?,The answer is 103888.,math
What is 62 - 845?,The answer is -783.,math
What is 153 × 711?,The answer is 108783.,math
What is 584 + 660?,The answer is 1244.,math
What is 575 + 310?,The answer is 885.,math
What is 243 - 493?,The answer is -250.,math
What is 330 - 107?,The answer is 223.,math
What is 825 + 218?,The answer is 1043.,math
What is 753 × 506?,The answer is 381018.,math
What is 888 + 774?,The answer is 1662.,math
What is 773 × 54?,The answer is 41742.,math
What is 727 + 689?,The answer is 1416.,math
What is 99 - 20?,The answer is 79.,math
What is 753 × 573?,The answer is 431469.,math
What is 490 - 419?,The answer is 71.,math
What is 850 + 62?,The answer is 912.,math
What is 216 × 3?,The answer is 648.,math
What is 998 + 781?,The answer is 1779.,math
What is 89 - 329?,The answer is -240.,math
What is 357 × 610?,The answer is 217770.,math
What is 617 × 952?,The answer is 587384.,math
What is 635 + 988?,The answer is 1623.,math
What is 649 + 195?,The answer is 844.,math
What is 738 - 332?,The answer is 406.,math
What is 521 + 463?,The answer is 984.,math
What is 261 × 395?,The answer is 103095.,math
What is 226 × 984?,The answer is 222384.,math
What is 38 × 328?,The answer is 12464.,math
What is 901 - 176?,The answer is 725.,math
What is 914 + 454?,The answer is 1368.,math
What is 316 + 688?,The answer is 1004.,math
What is 796 + 965?,The answer is 1761.,math
What is 593 + 114?,The answer is 707.,math
What is 224 + 318?,The answer is 542.,math
What is 115 × 698?,The answer is 80270.,math
What is 568 - 40?,The answer is 528.,math
What is 40 + 859?,The answer is 899.,math
What is 749 - 289?,The answer is 460.,math
What is 216 + 147?,The answer is 363.,math
What is 571 + 571?,The answer is 1142.,math
What is 781 + 363?,The answer is 1144.,math
What is 345 - 693?,The answer is -348.,math
What is 356 × 191?,The answer is 67996.,math
What is 422 × 700?,The answer is 295400.,math
What is 133 + 747?,The answer is 880.,math
